Absolute Number,TS_Ver,TS_Degree of Automation,TS_State of Automation
3602,passed,Auto,Implemented
15786,passed,Auto,Implemented
16955,passed,Auto,Implemented
16956,passed,Auto,Implemented
16957,passed,Auto,Implemented
16958,passed,Auto,Implemented
16959,passed,Auto,Implemented
16960,passed,Auto,Implemented
17969,passed,Auto,Implemented
3618,,Auto,In work
3061,,Auto,In work
3627,,Auto,In work
3631,,Auto,In work
3629,,Auto,In work
3632,,Auto,In work
3628,passed,Auto,Implemented
3625,passed,Auto,Implemented
3626,passed,Auto,Implemented
3630,passed,Auto,Implemented
3620,,Auto,In work
3623,,Auto,In work
3621,,Auto,In work
3624,,Auto,In work
16964,passed,Auto,Implemented
16965,passed,Auto,Implemented
16966,passed,Auto,Implemented
16967,passed,Auto,Implemented
16968,,Auto,In work
16969,,Auto,In work
16970,passed,Auto,Implemented
16971,,Auto,In work
17970,passed,Auto,Implemented
3712,,Auto,In work
5271,passed,Auto,Implemented
5270,passed,Auto,Implemented
17724,passed,Auto,Implemented
17725,passed,Auto,Implemented
17726,passed,Auto,Implemented
17727,passed,Auto,Implemented
17728,passed,Auto,Implemented
17729,,Auto,In work
17730,,Auto,In work
17731,,Auto,In work
17732,,Auto,In work
17923,,Auto,In work
17924,,Auto,In work
17925,,Auto,In work
17926,,Auto,In work
17739,,Auto,In work
17734,passed,Auto,Implemented
17736,,Auto,In work
17737,,Auto,In work
17738,passed,Auto,Implemented
17742,,Auto,In work
17745,,Auto,In work
17743,,Auto,In work
17744,,Auto,In work
17746,,Auto,In work
17747,,Auto,In work
17748,,Auto,In work
17749,,Auto,In work
17750,,Auto,In work
17751,,Auto,In work
17752,,Auto,In work
17753,,Auto,In work
17754,,Auto,In work
17756,,Auto,In work
17755,,Auto,In work
17757,,Auto,In work
17758,,Auto,In work
17759,,Auto,In work
17760,,Auto,In work
17761,,Auto,In work
17774,,Auto,In work
17955,,Auto,In work
17775,,Auto,In work
17956,,Auto,In work
17776,,Auto,In work
17777,,Auto,In work
17778,,Auto,In work
17779,,Auto,In work
17780,,Auto,In work
17978,,Auto,In work
17982,,Auto,In work
18057,,Auto,In work
19044,,Auto,In work
19045,,Auto,In work
19046,,Auto,In work
19047,,Auto,In work
19048,,Auto,In work
19049,,Auto,In work
19050,,Auto,In work
19051,,Auto,In work
19052,,Auto,In work
19053,,Auto,In work
19054,,Auto,In work
19055,,Auto,In work
19056,,Auto,In work
19057,,Auto,In work
19058,,Auto,In work
19059,,Auto,In work
19060,,Auto,In work
19078,,Auto,In work
19079,,Auto,In work
19080,,Auto,In work
19081,,Auto,In work
19082,,Auto,In work
19083,,Auto,In work
19084,,Auto,In work
19085,,Auto,In work
19086,,Auto,In work
17834,,Auto,In work
17835,,Auto,In work
17836,,Auto,In work
17837,,Auto,In work
17838,,Auto,In work
17839,,Auto,In work
17840,,Auto,In work
19061,,Auto,In work
19062,,Auto,In work
19063,,Auto,In work
19064,,Auto,In work
19065,,Auto,In work
19066,,Auto,In work
19067,,Auto,In work
19068,,Auto,In work
19069,,Auto,In work
19070,,Auto,In work
19071,,Auto,In work
19072,,Auto,In work
19073,,Auto,In work
19074,,Auto,In work
19075,,Auto,In work
19076,,Auto,In work
19077,,Auto,In work
19087,,Auto,In work
19088,,Auto,In work
19089,,Auto,In work
19091,,Auto,In work
19090,,Auto,In work
19092,,Auto,In work
19093,,Auto,In work
19094,,Auto,In work
19095,,Auto,In work
17845,,Auto,In work
19098,,Auto,In work
19099,,Auto,In work
19103,,Auto,In work
19104,,Auto,In work
19096,,Auto,In work
19097,,Auto,In work
19100,,Auto,In work
19101,,Auto,In work
17842,,Auto,In work
17783,,Auto,In work
18476,,Auto,In work
18205,,Auto,In work
17784,,Auto,In work
17785,,Auto,In work
17957,,Auto,In work
17786,,Auto,In work
17787,,Auto,In work
17980,,Auto,In work
17983,,Auto,In work
18060,,Auto,In work
17825,,Auto,In work
18206,,Auto,In work
17828,,Auto,In work
17829,,Auto,In work
17958,,Auto,In work
17830,,Auto,In work
17831,,Auto,In work
17799,,Auto,In work
17788,,Auto,In work
18049,,Auto,In work
18050,,Auto,In work
18051,,Auto,In work
18052,,Auto,In work
17791,,Auto,In work
17792,,Auto,In work
18047,,Auto,In work
17793,,Auto,In work
17803,,Auto,In work
17804,,Auto,In work
17805,,Auto,In work
17843,,Auto,In work
17806,,Auto,In work
17807,,Auto,In work
18053,,Auto,In work
18054,,Auto,In work
18055,,Auto,In work
18056,,Auto,In work
17808,,Auto,In work
17809,,Auto,In work
18048,,Auto,In work
17810,,Auto,In work
17819,,Auto,In work
17820,,Auto,In work
17821,,Auto,In work
17844,,Auto,In work
17763 ,passed,Auto,Implemented
17764,passed,Auto,Implemented
17765,passed,Auto,Implemented
17766,passed,Auto,Implemented
18059,passed,Auto,Implemented
18061,passed,Auto,Implemented
17767,,Auto,In work
17768,passed,Auto,Implemented
18062,,Auto,In work
18063,,Auto,In work
17769,,Auto,In work
17770,,Auto,In work
18479,,Auto,In work
18480,,Auto,In work
18481,,Auto,In work
18484,,Auto,In work
17771,,Auto,In work
18064,,Auto,In work
18065,,Auto,In work
18477,,Auto,In work
18478,,Auto,In work
18066,passed,Auto,Implemented
18482,,Auto,In work
18483,,Auto,In work
17850,,Auto,In work
17851,,Auto,In work
17852,,Auto,In work
17853,,Auto,In work
17854,,Auto,In work
17855,,Auto,In work
18532,,Auto,In work
18533,,Auto,In work
18534,,Auto,In work
18535,,Auto,In work
18536,,Auto,In work
17979,,Auto,In work
17984,,Auto,In work
17856,,Auto,In work
17858,,Auto,In work
17859,,Auto,In work
17860,,Auto,In work
17861,,Auto,In work
17862,,Auto,In work
17863,,Auto,In work
18537,,Auto,In work
18538,,Auto,In work
18539,,Auto,In work
18540,,Auto,In work
18541,,Auto,In work
18107,,Auto,In work
17864,,Auto,In work
17866,,Auto,In work
17867,,Auto,In work
18067,,Auto,In work
18068,,Auto,In work
17870,,Auto,In work
17873,,Auto,In work
18136,,Auto,In work
17874,,Auto,In work
17875,,Auto,In work
17876,,Auto,In work
18131,,Auto,In work
18132,,Auto,In work
18133,,Auto,In work
18134,,Auto,In work
18135,,Auto,In work
17981,,Auto,In work
17985,,Auto,In work
17878,,Auto,In work
18137,,Auto,In work
17881,,Auto,In work
17882,,Auto,In work
17883,,Auto,In work
17884,,Auto,In work
18138,,Auto,In work
18139,,Auto,In work
18140,,Auto,In work
18141,,Auto,In work
18142,,Auto,In work
18143,,Auto,In work
17886,,Auto,In work
17887,,Auto,In work
18075,,Auto,In work
17920,,Auto,In work
17902,passed,Auto,Implemented
18076,passed,Auto,Implemented
17903,,Auto,In work
17904,,Auto,In work
18084,,Auto,In work
17921,,Auto,In work
17919,passed,Auto,Implemented
18077,passed,Auto,Implemented
18086,,Auto,In work
18089,,Auto,In work
18087,,Auto,In work
18088,,Auto,In work
18090,,Auto,In work
18094,,Auto,In work
18096,,Auto,In work
18097,,Auto,In work
18098,,Auto,In work
18102,,Auto,In work
18103,,Auto,In work
18104,,Auto,In work
18105,,Auto,In work
18109,,Auto,In work
18110,,Auto,In work
18111,,Auto,In work
18112,,Auto,In work
18113,,Auto,In work
18114,,Auto,In work
18115,,Auto,In work
18116,,Auto,In work
18118,,Auto,In work
18119,,Auto,In work
18124,,Auto,In work
18125,,Auto,In work
18126,,Auto,In work
18127,,Auto,In work
18128,,Auto,In work
18129,,Auto,In work
18130,,Auto,In work
18158,,Auto,In work
18159,,Auto,In work
18160,,Auto,In work
18161,,Auto,In work
18162,,Auto,In work
18163,,Auto,In work
18164,,Auto,In work
18174,,Auto,In work
18144,,Auto,In work
18145,,Auto,In work
18146,,Auto,In work
18147,,Auto,In work
18148,,Auto,In work
18149,,Auto,In work
18150,,Auto,In work
18151,,Auto,In work
18152,,Auto,In work
18153,,Auto,In work
18154,,Auto,In work
18155,,Auto,In work
18156,,Auto,In work
18157,,Auto,In work
18165,,Auto,In work
18166,passed,Auto,Implemented
18167,,Auto,In work
18175,,Auto,In work
17928,passed,Auto,Implemented
17929,passed,Auto,Implemented
17930,passed,Auto,Implemented
18176,passed,Auto,Implemented
18177,passed,Auto,Implemented
18178,passed,Auto,Implemented
18179 ,passed,Auto,Implemented
18180,passed,Auto,Implemented
18181,passed,Auto,Implemented
18211,passed,Auto,Implemented
18212,passed,Auto,Implemented
2897,,Auto,In work
2899,,Auto,In work
2900,,Auto,In work
2905,passed,Auto,Implemented
2906,passed,Auto,Implemented
2907,,Auto,In work
2908,,Auto,In work
2911,,Auto,In work
2912,,Auto,In work
17243,,Auto,In work
2914,,Auto,In work
2915,,Auto,In work
17212,,Auto,In work
2917,,Auto,In work
2918,,Auto,In work
17233,,Auto,In work
17235,passed,Auto,Implemented
17236,passed,Auto,Implemented
17237,passed,Auto,Implemented
17239,passed,Auto,Implemented
17240,,Auto,In work
17241,,Auto,In work
17242,,Auto,In work
17244,,Auto,In work
17245,,Auto,In work
17246,,Auto,In work
17248,,Auto,In work
17247,,Auto,In work
17249,,Auto,In work
17250,,Auto,In work
17251,passed,Auto,Implemented
17252,passed,Auto,Implemented
17253,passed,Auto,Implemented
17254,,Auto,In work
17255,,Auto,In work
17256,,Auto,In work
17257,,Auto,In work
17258,,Auto,In work
17259,,Auto,In work
17260,,Auto,In work
17676,,Auto,In work
17678,,Auto,In work
17677,,Auto,In work
17679,,Auto,In work
17261,,Auto,In work
17262,,Auto,In work
17018,passed,Auto,Implemented
16942,,Auto,In work
16255,,Auto,In work
15546,,Auto,In work
17032,,Auto,In work
17394,,Auto,In work
17395,,Auto,In work
18159,,Auto,In work
17396,,Auto,In work
8194,passed,Auto,Implemented
8195,passed,Auto,Implemented
5479,,Auto,In work
5515,passed,Auto,Implemented
5517,passed,Auto,Implemented
5518,passed,Auto,Implemented
5524,passed,Auto,Implemented
5525,passed,Auto,Implemented
5526,passed,Auto,Implemented
5532,passed,Auto,Implemented
5533,passed,Auto,Implemented
5534,passed,Auto,Implemented
5535,passed,Auto,Implemented
5536,passed,Auto,Implemented
5537,passed,Auto,Implemented
5538,passed,Auto,Implemented
5539,passed,Auto,Implemented
5540,passed,Auto,Implemented
5541,passed,Auto,Implemented
5542,passed,Auto,Implemented
5543,passed,Auto,Implemented
5551,passed,Auto,Implemented
6058,passed,Auto,Implemented
6059,passed,Auto,Implemented
7613,passed,Auto,Implemented
6179,passed,Auto,Implemented
6180,passed,Auto,Implemented
6181,passed,Auto,Implemented
7614,,Auto,In work
7221,,Auto,In work
7222,,Auto,In work
7223,,Auto,In work
8223,,Auto,In work
18250,,Auto,In work
7224,,Auto,In work
7225,,Auto,In work
7226,,Auto,In work
7227,,Auto,In work
8225,,Auto,In work
18251,,Auto,In work
7615,,Auto,In work
7228,,Auto,In work
7229,,Auto,In work
7230,,Auto,In work
8226,,Auto,In work
18252,,Auto,In work
8227,,Auto,In work
8229,,Auto,In work
16258,,Auto,In work
7243,,Auto,In work
7244,,Auto,In work
7245,,Auto,In work
7246,,Auto,In work
16256,,Auto,In work
16257,,Auto,In work
16811,passed,Auto,Implemented
16812,passed,Auto,Implemented
7231,passed,Auto,Implemented
7234,passed,Auto,Implemented
7232,passed,Auto,Implemented
7235,passed,Auto,Implemented
7233,passed,Auto,Implemented
7236,passed,Auto,Implemented
7239,passed,Auto,Implemented
7240,passed,Auto,Implemented
7241,passed,Auto,Implemented
7242,passed,Auto,Implemented
15927,passed,Auto,Implemented
15928,passed,Auto,Implemented
7617,passed,Auto,Implemented
7618,passed,Auto,Implemented
16259,passed,Auto,Implemented
6707,passed,Auto,Implemented
6708,passed,Auto,Implemented
6709,passed,Auto,Implemented
6710,passed,Auto,Implemented
6711,,Auto,In work
6712,passed,Auto,Implemented
6713,passed,Auto,Implemented
6714,passed,Auto,Implemented
6715,passed,Auto,Implemented
15519,passed,Auto,Implemented
16902,passed,Auto,Implemented
16903,passed,Auto,Implemented
18095,passed,Auto,Implemented
18099,passed,Auto,Implemented
18100,passed,Auto,Implemented
18101,passed,Auto,Implemented
16722,passed,Auto,Implemented
16719,passed,Auto,Implemented
16721,passed,Auto,Implemented
16720,passed,Auto,Implemented
17562,passed,Auto,Implemented
16725,passed,Auto,Implemented
16726,passed,Auto,Implemented
16727,passed,Auto,Implemented
7667,,Auto,In work
7665,,Auto,In work
7668,,Auto,In work
7669,,Auto,In work
7670,,Auto,In work
7671,,Auto,In work
16260,,Auto,In work
15924,,Auto,In work
7486,,Auto,In work
7487,,Auto,In work
7489,,Auto,In work
7491,,Auto,In work
7502,,Auto,In work
7496,,Auto,In work
7488,,Auto,In work
7492,passed,Auto,Implemented
15914,passed,Auto,Implemented
15915,passed,Auto,Implemented
15916,passed,Auto,Implemented
7503,,Auto,In work
7504,,Auto,In work
7505,,Auto,In work
7506,,Auto,In work
7507,,Auto,In work
7490,,Auto,In work
7494,,Auto,In work
15918,,Auto,In work
15919,,Auto,In work
15920,,Auto,In work
15587,,Auto,In work
7513,,Auto,In work
7515,,Auto,In work
7517,,Auto,In work
7519,,Auto,In work
7520,,Auto,In work
7521,,Auto,In work
7522,,Auto,In work
7523,passed,Auto,Implemented
15905,passed,Auto,Implemented
15906,passed,Auto,Implemented
15907,passed,Auto,Implemented
7525,,Auto,In work
7526,,Auto,In work
7527,,Auto,In work
7528,,Auto,In work
7529,,Auto,In work
7530,,Auto,In work
7531,,Auto,In work
15909,,Auto,In work
15910,,Auto,In work
15911,,Auto,In work
15588,,Auto,In work
7514,,Auto,In work
7537,,Auto,In work
7538,,Auto,In work
7539,,Auto,In work
7540,,Auto,In work
7541,,Auto,In work
7542,,Auto,In work
7543,passed,Auto,Implemented
15897,passed,Auto,Implemented
15898,passed,Auto,Implemented
15899,passed,Auto,Implemented
7545,,Auto,In work
7546,,Auto,In work
7547,,Auto,In work
7548,,Auto,In work
7549,,Auto,In work
7550,,Auto,In work
7551,,Auto,In work
15901,,Auto,In work
15902,,Auto,In work
15903,,Auto,In work
15589,,Auto,In work
16774,passed,Auto,Implemented
16775,passed,Auto,Implemented
16776,passed,Auto,Implemented
16777,passed,Auto,Implemented
16778,passed,Auto,Implemented
16780,passed,Auto,Implemented
16781,passed,Auto,Implemented
16782,passed,Auto,Implemented
16783,passed,Auto,Implemented
16784,passed,Auto,Implemented
16786,passed,Auto,Implemented
16787,passed,Auto,Implemented
16790,passed,Auto,Implemented
16857,passed,Auto,Implemented
15547,passed,Auto,Implemented
15548,passed,Auto,Implemented
15549,passed,Auto,Implemented
15550,passed,Auto,Implemented
15552,passed,Auto,Implemented
15551,passed,Auto,Implemented
15553,passed,Auto,Implemented
15554,passed,Auto,Implemented
15893,passed,Auto,Implemented
15894,passed,Auto,Implemented
15556,passed,Auto,Implemented
15557,passed,Auto,Implemented
15592,passed,Auto,Implemented
16858,passed,Auto,Implemented
15560,passed,Auto,Implemented
15561,passed,Auto,Implemented
15562,passed,Auto,Implemented
15563,passed,Auto,Implemented
15564,passed,Auto,Implemented
15565,passed,Auto,Implemented
15566,passed,Auto,Implemented
15567,passed,Auto,Implemented
15887,passed,Auto,Implemented
15888,passed,Auto,Implemented
15569,passed,Auto,Implemented
15570,passed,Auto,Implemented
15593,passed,Auto,Implemented
16859,passed,Auto,Implemented
15573,passed,Auto,Implemented
15574,passed,Auto,Implemented
15575,passed,Auto,Implemented
15576,passed,Auto,Implemented
15577,passed,Auto,Implemented
15578,passed,Auto,Implemented
15579,passed,Auto,Implemented
15580,passed,Auto,Implemented
15890,passed,Auto,Implemented
15891,passed,Auto,Implemented
15582,passed,Auto,Implemented
15583,passed,Auto,Implemented
15594,passed,Auto,Implemented
16860,passed,Auto,Implemented
15883,,Auto,In work
15884,,Auto,In work
15885,,Auto,In work
15868,passed,Auto,Implemented
18030,,Auto,In work
18031,,Auto,In work
18032,,Auto,In work
18033,,Auto,In work
15591,,Auto,In work
15787,,Auto,In work
15788,,Auto,In work
15790,,Auto,In work
18034,,Auto,In work
18035,,Auto,In work
18036,,Auto,In work
18037,,Auto,In work
18038,,Auto,In work
18039,,Auto,In work
7575,passed,Auto,Implemented
7576,passed,Auto,Implemented
7569,passed,Auto,Implemented
7570,passed,Auto,Implemented
7571,passed,Auto,Implemented
7572,passed,Auto,Implemented
7573,passed,Auto,Implemented
7574,passed,Auto,Implemented
7578,passed,Auto,Implemented
7579,passed,Auto,Implemented
7580,passed,Auto,Implemented
7581,passed,Auto,Implemented
7587,passed,Auto,Implemented
7588,passed,Auto,Implemented
17653,passed,Auto,Implemented
17657,passed,Auto,Implemented
17661,passed,Auto,Implemented
7589,passed,Auto,Implemented
7590,passed,Auto,Implemented
17654,passed,Auto,Implemented
17658,passed,Auto,Implemented
17662,passed,Auto,Implemented
7591,passed,Auto,Implemented
7592,passed,Auto,Implemented
17655,passed,Auto,Implemented
17659,passed,Auto,Implemented
17663,passed,Auto,Implemented
7593,passed,Auto,Implemented
7594,passed,Auto,Implemented
17656,passed,Auto,Implemented
17660,passed,Auto,Implemented
17664,passed,Auto,Implemented
7597,passed,Auto,Implemented
7599,passed,Auto,Implemented
7601,passed,Auto,Implemented
17353,passed,Auto,Implemented
16856,passed,Auto,Implemented
17354,passed,Auto,Implemented
16853,passed,Auto,Implemented
17355,passed,Auto,Implemented
16854,passed,Auto,Implemented
17356,passed,Auto,Implemented
16855,passed,Auto,Implemented
17357,passed,Auto,Implemented
17358,passed,Auto,Implemented
17359,passed,Auto,Implemented
17360,passed,Auto,Implemented
17361,passed,Auto,Implemented
17362,passed,Auto,Implemented
17363,passed,Auto,Implemented
17364,passed,Auto,Implemented
18199,passed,Auto,Implemented
18200,passed,Auto,Implemented
18201,passed,Auto,Implemented
18202,passed,Auto,Implemented
18236,passed,Auto,Implemented
18237,passed,Auto,Implemented
18238,passed,Auto,Implemented
18239,passed,Auto,Implemented
15793,passed,Auto,Implemented
15794,passed,Auto,Implemented
15795,passed,Auto,Implemented
15796,passed,Auto,Implemented
15797,passed,Auto,Implemented
17566,passed,Auto,Implemented
15798,passed,Auto,Implemented
15799,passed,Auto,Implemented
15800,passed,Auto,Implemented
15801,passed,Auto,Implemented
15802,passed,Auto,Implemented
17567,passed,Auto,Implemented
15803,passed,Auto,Implemented
15804,passed,Auto,Implemented
15805,passed,Auto,Implemented
15806,passed,Auto,Implemented
15807,passed,Auto,Implemented
17568,passed,Auto,Implemented
5488,passed,Auto,Implemented
5489,,Auto,In work
16273,passed,Auto,Implemented
16274,passed,Auto,Implemented
16276,passed,Auto,Implemented
16277,passed,Auto,Implemented
16280,passed,Auto,Implemented
16281,passed,Auto,Implemented
16283,,Auto,In work
16275,,Auto,In work
16278,,Auto,In work
16878,,Auto,In work
16879,,Auto,In work
5484,passed,Auto,Implemented
5485,passed,Auto,Implemented
5486,passed,Auto,Implemented
16728,,Auto,In work
16729,,Auto,In work
16730,,Auto,In work
16731,,Auto,In work
16732,,Auto,In work
16733,,Auto,In work
16734,,Auto,In work
16735,passed,Auto,Implemented
7604,,Auto,In work
18288,,Auto,In work
18289,,Auto,In work
18290,,Auto,In work
7605,,Auto,In work
16289,passed,Auto,Implemented
16286,passed,Auto,Implemented
16287,passed,Auto,Implemented
16288,passed,Auto,Implemented
16291,,Auto,In work
17596,,Auto,In work
17597,,Auto,In work
17598,,Auto,In work
17599,,Auto,In work
17600,,Auto,In work
17601,,Auto,In work
17602,,Auto,In work
17603,,Auto,In work
17604,,Auto,In work
17605,,Auto,In work
17606,,Auto,In work
17607,,Auto,In work
18213,passed,Auto,Implemented
18254,,Auto,In work
18284,,Auto,In work
18255,passed,Auto,Implemented
18256,,Auto,In work
18285,,Auto,In work
18257,passed,Auto,Implemented
18258,passed,Auto,Implemented
18286,,Auto,In work
18259,passed,Auto,Implemented
18260,passed,Auto,Implemented
18287,,Auto,In work
18262,,Auto,In work
18263,,Auto,In work
7646,,Auto,In work
7651,,Auto,In work
7652,,Auto,In work
7653,,Auto,In work
7649,,Auto,In work
7659,,Auto,In work
7661,,Auto,In work
7660,,Auto,In work
7663,,Auto,In work
7662,,Auto,In work
7647,passed,Auto,Implemented
16641,passed,Auto,Implemented
8337,passed,Auto,Implemented
16079,passed,Auto,Implemented
15498,passed,Auto,Implemented
15499,passed,Auto,Implemented
15500,passed,Auto,Implemented
15501,passed,Auto,Implemented
8330,passed,Auto,Implemented
8331,passed,Auto,Implemented
8332,passed,Auto,Implemented
8333,passed,Auto,Implemented
3118,passed,Auto,Implemented
3120,passed,Auto,Implemented
3121,passed,Auto,Implemented
3122,passed,Auto,Implemented
3129,passed,Auto,Implemented
15504,passed,Auto,Implemented
15930,passed,Auto,Implemented
15931,passed,Auto,Implemented
15932,passed,Auto,Implemented
15933,passed,Auto,Implemented
17298,passed,Auto,Implemented
15512,passed,Auto,Implemented
15521,passed,Auto,Implemented
15524,passed,Auto,Implemented
15525,passed,Auto,Implemented
17127,passed,Auto,Implemented
17128,passed,Auto,Implemented
15527,passed,Auto,Implemented
15528,passed,Auto,Implemented
15529,passed,Auto,Implemented
15530,passed,Auto,Implemented
15531,passed,Auto,Implemented
15532,passed,Auto,Implemented
15533,passed,Auto,Implemented
15534,passed,Auto,Implemented
15535,passed,Auto,Implemented
15536,passed,Auto,Implemented
15537,passed,Auto,Implemented
18528,passed,Auto,Implemented
3109,passed,Auto,Implemented
3110,passed,Auto,Implemented
3111,passed,Auto,Implemented
3112,passed,Auto,Implemented
3113,passed,Auto,Implemented
15505,passed,Auto,Implemented
3104,passed,Auto,Implemented
3105,passed,Auto,Implemented
3106,passed,Auto,Implemented
3090,passed,Auto,Implemented
3096,passed,Auto,Implemented
3091,passed,Auto,Implemented
3092,passed,Auto,Implemented
3093,passed,Auto,Implemented
3094,passed,Auto,Implemented
3095,passed,Auto,Implemented
3100,passed,Auto,Implemented
3101,passed,Auto,Implemented
3102,,Auto,In work
3709,passed,Auto,Implemented
3074,passed,Auto,Implemented
3075,passed,Auto,Implemented
16895,passed,Auto,Implemented
3076,passed,Auto,Implemented
3078,passed,Auto,Implemented
15506,passed,Auto,Implemented
3081,passed,Auto,Implemented
3083,,Auto,In work
3087,passed,Auto,Implemented
3088,passed,Auto,Implemented
3708,passed,Auto,Implemented
16796,passed,Auto,Implemented
16797,passed,Auto,Implemented
3150,passed,Auto,Implemented
3152,passed,Auto,Implemented
3153,passed,Auto,Implemented
15507,passed,Auto,Implemented
3154,passed,Auto,Implemented
3151,passed,Auto,Implemented
3157,,Auto,In work
3158,passed,Auto,Implemented
3160,,Auto,In work
3161,,Auto,In work
4595,passed,Auto,Implemented
15863,passed,Auto,Implemented
3180,,Auto,In work
3181,passed,Auto,Implemented
16798,passed,Auto,Implemented
3182,passed,Auto,Implemented
3184,passed,Auto,Implemented
16801,passed,Auto,Implemented
16799,,Auto,In work
16800,,Auto,In work
3187,passed,Auto,Implemented
3188,passed,Auto,Implemented
3189,,Auto,In work
3191,passed,Auto,Implemented
3194,passed,Auto,Implemented
16802,passed,Auto,Implemented
15867,passed,Auto,Implemented
3195,passed,Auto,Implemented
3196,passed,Auto,Implemented
3197,passed,Auto,Implemented
3204,passed,Auto,Implemented
3206,passed,Auto,Implemented
16877,passed,Auto,Implemented
16875,,Auto,In work
3207,,Auto,In work
16899,passed,Auto,Implemented
3210,passed,Auto,Implemented
3212,passed,Auto,Implemented
3213,passed,Auto,Implemented
3214,,Auto,In work
16810,passed,Auto,Implemented
16876,,Auto,In work
3223,passed,Auto,Implemented
3225,passed,Auto,Implemented
3226,,Auto,In work
3228,passed,Auto,Implemented
3230,passed,Auto,Implemented
3231,,Auto,In work
3276,,Auto,In work
3277,,Auto,In work
3283,passed,Auto,Implemented
3279,passed,Auto,Implemented
3280,passed,Auto,Implemented
3282,passed,Auto,Implemented
16900,passed,Auto,Implemented
3286,,Auto,In work
3288,,Auto,In work
3289,passed,Auto,Implemented
3290,passed,Auto,Implemented
3291,passed,Auto,Implemented
3293,passed,Auto,Implemented
3294,passed,Auto,Implemented
3295,,Auto,In work
3296,passed,Auto,Implemented
3298,passed,Auto,Implemented
18514,passed,Auto,Implemented
3301,passed,Auto,Implemented
3303,passed,Auto,Implemented
3307,passed,Auto,Implemented
3308,passed,Auto,Implemented
3309,passed,Auto,Implemented
3310,passed,Auto,Implemented
3311,,Auto,In work
3312,passed,Auto,Implemented
3314,,Auto,In work
3329,passed,Auto,Implemented
3333,passed,Auto,Implemented
3334,passed,Auto,Implemented
3351,passed,Auto,Implemented
3352,passed,Auto,Implemented
3353,passed,Auto,Implemented
3355,passed,Auto,Implemented
3359,passed,Auto,Implemented
3361,passed,Auto,Implemented
3366,,Auto,In work
3367,,Auto,In work
3401,passed,Auto,Implemented
3403,passed,Auto,Implemented
3407,passed,Auto,Implemented
3410,,Auto,In work
3413,,Auto,In work
3414,passed,Auto,Implemented
3416,,Auto,In work
4564,passed,Auto,Implemented
4565,passed,Auto,Implemented
4566,passed,Auto,Implemented
4567,passed,Auto,Implemented
15934,passed,Auto,Implemented
16901,passed,Auto,Implemented
4568,passed,Auto,Implemented
4569,passed,Auto,Implemented
4570,passed,Auto,Implemented
4571,passed,Auto,Implemented
4572,passed,Auto,Implemented
4573,passed,Auto,Implemented
4574,passed,Auto,Implemented
4575,passed,Auto,Implemented
4576,passed,Auto,Implemented
4577,passed,Auto,Implemented
4578,passed,Auto,Implemented
4579,passed,Auto,Implemented
4580,passed,Auto,Implemented
4586,passed,Auto,Implemented
4587,passed,Auto,Implemented
4588,passed,Auto,Implemented
4589,passed,Auto,Implemented
16630,passed,Auto,Implemented
16631,passed,Auto,Implemented
16632,passed,Auto,Implemented
16803,passed,Auto,Implemented
16805,,Auto,In work
3418,passed,Auto,Implemented
3419,passed,Auto,Implemented
3420,passed,Auto,Implemented
3421,passed,Auto,Implemented
3422,passed,Auto,Implemented
3423,passed,Auto,Implemented
3424,passed,Auto,Implemented
3425,passed,Auto,Implemented
4590,passed,Auto,Implemented
4591,passed,Auto,Implemented
16634,passed,Auto,Implemented
16635,passed,Auto,Implemented
16636,passed,Auto,Implemented
16637,passed,Auto,Implemented
15767,passed,Auto,Implemented
15768,passed,Auto,Implemented
15769,passed,Auto,Implemented
15770,passed,Auto,Implemented
15771,passed,Auto,Implemented
15772,passed,Auto,Implemented
3426,passed,Auto,Implemented
3427,passed,Auto,Implemented
3428,passed,Auto,Implemented
3429,passed,Auto,Implemented
4598,passed,Auto,Implemented
3430,passed,Auto,Implemented
3444,passed,Auto,Implemented
3445,passed,Auto,Implemented
16080,passed,Auto,Implemented
16081,passed,Auto,Implemented
16082,passed,Auto,Implemented
16083,passed,Auto,Implemented
3449,passed,Auto,Implemented
3450,passed,Auto,Implemented
3451,passed,Auto,Implemented
3452,passed,Auto,Implemented
3453,passed,Auto,Implemented
3457,passed,Auto,Implemented
3458,passed,Auto,Implemented
15845,passed,Auto,Implemented
15846,passed,Auto,Implemented
3572,passed,Auto,Implemented
3573,passed,Auto,Implemented
16085,passed,Auto,Implemented
16086,passed,Auto,Implemented
3463,,Auto,In work
3464,,Auto,In work
3465,,Auto,In work
3466,passed,Auto,Implemented
3467,,Auto,In work
3470,,Auto,In work
15935,passed,Auto,Implemented
15936,passed,Auto,Implemented
15937,passed,Auto,Implemented
15939,passed,Auto,Implemented
3471,passed,Auto,Implemented
15943,passed,Auto,Implemented
15944,passed,Auto,Implemented
3472,passed,Auto,Implemented
15945,passed,Auto,Implemented
3474,passed,Auto,Implemented
16813,passed,Auto,Implemented
16815,passed,Auto,Implemented
16814,passed,Auto,Implemented
16816,passed,Auto,Implemented
15938,passed,Auto,Implemented
3475,passed,Auto,Implemented
15942,passed,Auto,Implemented
17986,passed,Auto,Implemented
17987,passed,Auto,Implemented
17988,passed,Auto,Implemented
17989,passed,Auto,Implemented
3476,passed,Auto,Implemented
3477,passed,Auto,Implemented
3478,passed,Auto,Implemented
